,date,region,measures,unit,index_value,joinYear,joinMonth,joinProvince
0,1979-11,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.3,1979,11,Canada
1,1979-12,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.4,1979,12,Canada
2,1980-01,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.3,1980,01,Canada
3,1980-02,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.4,1980,02,Canada
4,1980-03,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.3,1980,03,Canada
5,1980-04,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.1,1980,04,Canada
6,1980-05,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.1,1980,05,Canada
7,1980-06,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.3,1980,06,Canada
8,1980-07,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.5,1980,07,Canada
9,1980-08,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.7,1980,08,Canada
10,1980-09,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.8,1980,09,Canada
11,1980-10,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.7,1980,10,Canada
12,1980-11,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.7,1980,11,Canada
13,1980-12,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.8,1980,12,Canada
14,1981-01,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.2,1981,01,Canada
15,1981-02,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.2,1981,02,Canada
16,1981-03,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.2,1981,03,Canada
17,1981-04,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.4,1981,04,Canada
18,1981-05,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.2,1981,05,Canada
19,1981-06,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.4,1981,06,Canada
20,1981-07,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.5,1981,07,Canada
21,1981-08,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.4,1981,08,Canada
22,1981-09,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.1,1981,09,Canada
23,1981-10,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.5,1981,10,Canada
24,1981-11,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.5,1981,11,Canada
25,1981-12,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.3,1981,12,Canada
26,1982-01,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.9,1982,01,Canada
27,1982-02,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.1,1982,02,Canada
28,1982-03,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.0,1982,03,Canada
29,1982-04,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.2,1982,04,Canada
30,1982-05,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.5,1982,05,Canada
31,1982-06,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.4,1982,06,Canada
32,1982-07,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,10.0,1982,07,Canada
33,1982-08,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.9,1982,08,Canada
34,1982-09,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.8,1982,09,Canada
35,1982-10,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.5,1982,10,Canada
36,1982-11,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.2,1982,11,Canada
37,1982-12,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,9.0,1982,12,Canada
38,1983-01,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,8.3,1983,01,Canada
39,1983-02,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,7.8,1983,02,Canada
40,1983-03,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,7.3,1983,03,Canada
41,1983-04,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,6.9,1983,04,Canada
42,1983-05,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,6.1,1983,05,Canada
43,1983-06,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,5.5,1983,06,Canada
44,1983-07,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,5.5,1983,07,Canada
45,1983-08,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,5.2,1983,08,Canada
46,1983-09,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.9,1983,09,Canada
47,1983-10,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.7,1983,10,Canada
48,1983-11,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.2,1983,11,Canada
49,1983-12,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.3,1983,12,Canada
50,1984-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.1,1984,01,Canada
51,1984-01,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.6,1984,01,Canada
52,1984-01,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.3,1984,01,Canada
53,1984-01,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",75.5,1984,01,Canada
54,1984-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",73.4,1984,01,Canada
55,1984-01,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75.7,1984,01,Canada
56,1984-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",73.6,1984,01,Canada
57,1984-01,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",90.9,1984,01,Canada
58,1984-01,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",92.0,1984,01,Canada
59,1984-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",91.3,1984,01,Canada
60,1984-01,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.4,1984,01,Canada
61,1984-01,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",91.5,1984,01,Canada
62,1984-02,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.3,1984,02,Canada
63,1984-02,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.5,1984,02,Canada
64,1984-02,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.6,1984,02,Canada
65,1984-02,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",75.9,1984,02,Canada
66,1984-02,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",73.6,1984,02,Canada
67,1984-02,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.0,1984,02,Canada
68,1984-02,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",73.7,1984,02,Canada
69,1984-02,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",91.3,1984,02,Canada
70,1984-02,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",92.5,1984,02,Canada
71,1984-02,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",91.6,1984,02,Canada
72,1984-02,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.7,1984,02,Canada
73,1984-02,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",91.7,1984,02,Canada
74,1984-02,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0,1984,02,Canada
75,1984-02,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0,1984,02,Canada
76,1984-03,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.7,1984,03,Canada
77,1984-03,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.4,1984,03,Canada
78,1984-03,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.7,1984,03,Canada
79,1984-03,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76.0,1984,03,Canada
80,1984-03,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.0,1984,03,Canada
81,1984-03,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.0,1984,03,Canada
