,Date,HPI_House_Land,HPI_House,HPI_Land,Index,joinProvince,joinMonth,joinYear
1,Jan-81,38.2,36.1,40.6E,201612=100,Canada,01,1981
2,Feb-81,38.7,36.5,41.0E,201612=100,Canada,02,1981
3,Mar-81,39.3,37.3,41.1E,201612=100,Canada,03,1981
4,Apr-81,39.9,38.1,41.2E,201612=100,Canada,04,1981
5,May-81,40.6,38.9,41.5E,201612=100,Canada,05,1981
6,Jun-81,40.8,39.1,41.6E,201612=100,Canada,06,1981
7,Jul-81,40.8,39.2,41.6E,201612=100,Canada,07,1981
8,Aug-81,40.6,39,41.5E,201612=100,Canada,08,1981
9,Sep-81,40.4,39,40.9E,201612=100,Canada,09,1981
10,Oct-81,40.3,38.8,40.9E,201612=100,Canada,10,1981
11,Nov-81,40.2,38.8,40.4E,201612=100,Canada,11,1981
12,Dec-81,40.3,38.9,40.5E,201612=100,Canada,12,1981
13,Jan-82,40.3,39.1,40.5E,201612=100,Canada,01,1982
14,Feb-82,40.3,38.9,40.6E,201612=100,Canada,02,1982
15,Mar-82,40.1,38.6,40.7E,201612=100,Canada,03,1982
16,Apr-82,39.9,38.5,40.6E,201612=100,Canada,04,1982
17,May-82,39.6,38.1,40.1E,201612=100,Canada,05,1982
18,Jun-82,39.3,38.1,39.5E,201612=100,Canada,06,1982
19,Jul-82,39,38,38.5E,201612=100,Canada,07,1982
20,Aug-82,38.8,37.8,38.2E,201612=100,Canada,08,1982
21,Sep-82,38.4,37.6,37.5E,201612=100,Canada,09,1982
22,Oct-82,38.3,37.4,37.5E,201612=100,Canada,10,1982
23,Nov-82,38,37.3,37.0E,201612=100,Canada,11,1982
24,Dec-82,37.9,37.2,37.0E,201612=100,Canada,12,1982
25,Jan-83,37.9,37.3,36.8E,201612=100,Canada,01,1983
26,Feb-83,37.9,37.2,36.8E,201612=100,Canada,02,1983
27,Mar-83,37.8,37.2,37.0E,201612=100,Canada,03,1983
28,Apr-83,37.8,37,37.2E,201612=100,Canada,04,1983
29,May-83,37.7,36.9,37.2E,201612=100,Canada,05,1983
30,Jun-83,37.8,37,37.4E,201612=100,Canada,06,1983
31,Jul-83,37.8,37,37.4E,201612=100,Canada,07,1983
32,Aug-83,38,37.2,37.2E,201612=100,Canada,08,1983
33,Sep-83,38,37.2,37.3E,201612=100,Canada,09,1983
34,Oct-83,37.9,37.2,37.2E,201612=100,Canada,10,1983
35,Nov-83,38,37.3,37.4E,201612=100,Canada,11,1983
36,Dec-83,37.9,37.2,37.2E,201612=100,Canada,12,1983
37,Jan-84,38,37.2,37.3E,201612=100,Canada,01,1984
38,Feb-84,38,37.4,37.3E,201612=100,Canada,02,1984
39,Mar-84,38.1,37.5,37.3E,201612=100,Canada,03,1984
40,Apr-84,38.2,37.6,37.4E,201612=100,Canada,04,1984
41,May-84,38.2,37.6,37.4E,201612=100,Canada,05,1984
42,Jun-84,38.1,37.4,37.4E,201612=100,Canada,06,1984
43,Jul-84,38.1,37.4,37.4E,201612=100,Canada,07,1984
44,Aug-84,38,37.3,37.4E,201612=100,Canada,08,1984
45,Sep-84,37.9,37.2,37.3E,201612=100,Canada,09,1984
46,Oct-84,37.9,37.2,37.2E,201612=100,Canada,10,1984
47,Nov-84,37.8,37.2,37.0E,201612=100,Canada,11,1984
48,Dec-84,37.9,37.3,37.0E,201612=100,Canada,12,1984
49,Jan-85,38,37.4,37.1E,201612=100,Canada,01,1985
50,Feb-85,38,37.4,37.2E,201612=100,Canada,02,1985
51,Mar-85,38.1,37.5,37.3E,201612=100,Canada,03,1985
52,Apr-85,38.1,37.5,37.3E,201612=100,Canada,04,1985
53,May-85,38.1,37.4,37.5E,201612=100,Canada,05,1985
54,Jun-85,38.3,37.6,37.8E,201612=100,Canada,06,1985
55,Jul-85,38.4,37.7,37.8E,201612=100,Canada,07,1985
56,Aug-85,38.5,38,38.0E,201612=100,Canada,08,1985
57,Sep-85,38.8,38.1,38.2E,201612=100,Canada,09,1985
58,Oct-85,38.9,38.4,38.2E,201612=100,Canada,10,1985
59,Nov-85,39.2,38.6,38.3E,201612=100,Canada,11,1985
60,Dec-85,39.3,38.7,38.4E,201612=100,Canada,12,1985
61,Jan-86,39.8,39.4,38.8E,201612=100,Canada,01,1986
62,Feb-86,40.3,39.9,39.2E,201612=100,Canada,02,1986
63,Mar-86,40.6,40.2,39.3E,201612=100,Canada,03,1986
64,Apr-86,40.8,40.6,39.3E,201612=100,Canada,04,1986
65,May-86,41.1,40.9,39.5E,201612=100,Canada,05,1986
66,Jun-86,41.3,41.2,39.7E,201612=100,Canada,06,1986
67,Jul-86,41.6,41.4,39.8E,201612=100,Canada,07,1986
68,Aug-86,42,41.9,40.1E,201612=100,Canada,08,1986
69,Sep-86,42.8,42.9,40.6E,201612=100,Canada,09,1986
70,Oct-86,43.2,43.4,40.6E,201612=100,Canada,10,1986
71,Nov-86,43.8,44.1,41.0E,201612=100,Canada,11,1986
72,Dec-86,44,44.4,41.0E,201612=100,Canada,12,1986
73,Jan-87,44.4,44.8,41.1E,201612=100,Canada,01,1987
74,Feb-87,45.2,45.9,41.3E,201612=100,Canada,02,1987
75,Mar-87,46.6,47.3,42.7E,201612=100,Canada,03,1987
76,Apr-87,47.1,48,43.1E,201612=100,Canada,04,1987
77,May-87,47.5,48.3,43.5E,201612=100,Canada,05,1987
78,Jun-87,47.7,48.6,43.6E,201612=100,Canada,06,1987
79,Jul-87,48,48.8,43.9E,201612=100,Canada,07,1987
80,Aug-87,48.2,49,44.2E,201612=100,Canada,08,1987
81,Sep-87,48.7,49.2,45.4E,201612=100,Canada,09,1987
82,Oct-87,48.9,49.3,45.6E,201612=100,Canada,10,1987
83,Nov-87,49.1,49.5,45.9E,201612=100,Canada,11,1987
84,Dec-87,49.1,49.5,46.1E,201612=100,Canada,12,1987
85,Jan-88,49.3,49.7,46.4E,201612=100,Canada,01,1988
86,Feb-88,49.8,50.1,46.9E,201612=100,Canada,02,1988
87,Mar-88,50.3,50.6,47.4E,201612=100,Canada,03,1988
88,Apr-88,51.2,51.5,48.3E,201612=100,Canada,04,1988
89,May-88,51.9,52.1,49.3E,201612=100,Canada,05,1988
90,Jun-88,52.3,52.4,50.3E,201612=100,Canada,06,1988
91,Jul-88,52.5,52.5,50.6E,201612=100,Canada,07,1988
92,Aug-88,53,53,50.9E,201612=100,Canada,08,1988
93,Sep-88,53.9,53.8,52.3E,201612=100,Canada,09,1988
94,Oct-88,54.3,54.1,52.8E,201612=100,Canada,10,1988
95,Nov-88,55,54.4,54.3E,201612=100,Canada,11,1988
96,Dec-88,55.8,54.6,56.2E,201612=100,Canada,12,1988
97,Jan-89,56.3,54.7,57.6E,201612=100,Canada,01,1989
98,Feb-89,57.7,55.6,60.3E,201612=100,Canada,02,1989
99,Mar-89,58.6,56.1,62.5E,201612=100,Canada,03,1989
100,Apr-89,59.1,56.4,63.4E,201612=100,Canada,04,1989
101,May-89,59.3,56.5,63.6E,201612=100,Canada,05,1989
102,Jun-89,59.6,56.9,64.0E,201612=100,Canada,06,1989
103,Jul-89,59.8,56.9,64.5E,201612=100,Canada,07,1989
104,Aug-89,59.8,56.9,64.7E,201612=100,Canada,08,1989
105,Sep-89,60.1,57.1,65.2E,201612=100,Canada,09,1989
106,Oct-89,60.4,57.4,65.5E,201612=100,Canada,10,1989
107,Nov-89,60.8,57.6,66.6E,201612=100,Canada,11,1989
108,Dec-89,61.1,57.9,67.0E,201612=100,Canada,12,1989
109,Jan-90,61.7,58.4,67.6E,201612=100,Canada,01,1990
110,Feb-90,61.8,58.4,68.0E,201612=100,Canada,02,1990
111,Mar-90,61.9,58.5,68.4E,201612=100,Canada,03,1990
112,Apr-90,61.8,58.3,68.5E,201612=100,Canada,04,1990
113,May-90,61.5,57.9,68.6E,201612=100,Canada,05,1990
114,Jun-90,60.8,56.8,68.3E,201612=100,Canada,06,1990
115,Jul-90,60.4,56.3,68.3E,201612=100,Canada,07,1990
116,Aug-90,59.8,55.7,67.6E,201612=100,Canada,08,1990
117,Sep-90,59,55,66.6E,201612=100,Canada,09,1990
118,Oct-90,58.6,54.3,66.5E,201612=100,Canada,10,1990
119,Nov-90,58,53.6,66.1E,201612=100,Canada,11,1990
120,Dec-90,57.8,53.4,66.1E,201612=100,Canada,12,1990
121,Jan-91,56.9,52.6,65.1E,201612=100,Canada,01,1991
122,Feb-91,55.8,51.7,63.6E,201612=100,Canada,02,1991
123,Mar-91,56,52,63.8E,201612=100,Canada,03,1991
124,Apr-91,55.8,51.7,63.9E,201612=100,Canada,04,1991
125,May-91,56.2,52.4,64.0E,201612=100,Canada,05,1991
126,Jun-91,56.2,52.4,64.0E,201612=100,Canada,06,1991
127,Jul-91,56.3,52.4,64.3E,201612=100,Canada,07,1991
128,Aug-91,56.2,52.3,64.2E,201612=100,Canada,08,1991
129,Sep-91,56.2,52.3,64.2E,201612=100,Canada,09,1991
130,Oct-91,56.2,52.4,64.1E,201612=100,Canada,10,1991
131,Nov-91,55.9,52.1,63.9E,201612=100,Canada,11,1991
132,Dec-91,55.9,52.1,64.0E,201612=100,Canada,12,1991
133,Jan-92,55.8,52,63.9E,201612=100,Canada,01,1992
134,Feb-92,55.8,51.8,64.0E,201612=100,Canada,02,1992
135,Mar-92,55.9,51.9,64.3E,201612=100,Canada,03,1992
136,Apr-92,56,52,64.7E,201612=100,Canada,04,1992
137,May-92,56,51.9,64.9E,201612=100,Canada,05,1992
138,Jun-92,56.2,52,65.1E,201612=100,Canada,06,1992
