,date,region,property_type,baseline,index_value,joinYear,joinMonth,joinProvince
0,1981-01,Seven census metropolitan area composite,Office,"Index, 2002=100",58.4,1981,01,Canada
1,1981-01,Seven census metropolitan area composite,Warehouse,"Index, 2002=100",53.3,1981,01,Canada
2,1981-01,Seven census metropolitan area composite,Shopping centre,"Index, 2002=100",59.3,1981,01,Canada
3,1981-01,Seven census metropolitan area composite,Light factory,"Index, 2002=100",50.1,1981,01,Canada
4,1981-01,Seven census metropolitan area composite,School,"Index, 2002=100",56.1,1981,01,Canada
5,1981-01,"Halifax, Nova Scotia",Office,"Index, 2002=100",66.6,1981,01,NS
6,1981-01,"Halifax, Nova Scotia",Office,"Index, 2002=100",71.8,1981,01,NS
7,1981-01,"Halifax, Nova Scotia",Office,"Index, 2002=100",77.2,1981,01,NS
8,1981-01,"Halifax, Nova Scotia",Office,"Index, 2002=100",50.4,1981,01,NS
9,1981-01,"Halifax, Nova Scotia",Office,"Index, 2002=100",49.7,1981,01,NS
10,1981-01,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",68.6,1981,01,NS
11,1981-01,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",68.1,1981,01,NS
12,1981-01,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",73.3,1981,01,NS
13,1981-01,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",53.0,1981,01,NS
14,1981-01,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",53.3,1981,01,NS
15,1981-01,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",65.5,1981,01,NS
16,1981-01,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",64.5,1981,01,NS
17,1981-01,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",69.4,1981,01,NS
18,1981-01,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",59.4,1981,01,NS
19,1981-01,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",54.7,1981,01,NS
20,1981-01,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",61.0,1981,01,NS
21,1981-01,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",72.4,1981,01,NS
22,1981-01,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",68.4,1981,01,NS
23,1981-01,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",47.7,1981,01,NS
24,1981-01,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",47.3,1981,01,NS
25,1981-01,"Halifax, Nova Scotia",School,"Index, 2002=100",62.6,1981,01,NS
