,Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark,sheet,joinYear,joinMonth,joinProvince
0,2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,248200,267500,219800,307200,211800.0,190600.0,Aggregate,2005,1,Canada
1,2005-02-01,101.0,101.0,101.0,101.1,100.6,100.9,250600,270200,222000,310600,213100.0,192300.0,Aggregate,2005,2,Canada
2,2005-03-01,102.0,102.2,102.2,102.2,101.2,101.4,253100,273400,224600,313900,214300.0,193200.0,Aggregate,2005,3,Canada
3,2005-04-01,102.9,103.2,103.3,103.2,101.9,102.1,255400,276100,227100,317000,215800.0,194600.0,Aggregate,2005,4,Canada
4,2005-05-01,103.7,103.9,104.3,103.6,102.6,102.9,257300,277900,229300,318200,217300.0,196100.0,Aggregate,2005,5,Canada
5,2005-06-01,104.4,104.6,104.9,104.4,103.5,103.9,259100,279800,230600,320700,219200.0,198000.0,Aggregate,2005,6,Canada
6,2005-07-01,105.0,105.1,105.6,104.7,104.3,104.8,260600,281100,232100,321600,220900.0,199700.0,Aggregate,2005,7,Canada
7,2005-08-01,105.5,105.6,106.4,105.0,105.0,105.3,261800,282500,233900,322500,222400.0,200700.0,Aggregate,2005,8,Canada
8,2005-09-01,106.3,106.4,107.3,105.6,105.7,106.4,263800,284600,235800,324400,223900.0,202700.0,Aggregate,2005,9,Canada
9,2005-10-01,106.8,106.8,107.5,106.2,106.4,106.9,265000,285700,236300,326200,225300.0,203700.0,Aggregate,2005,10,Canada
10,2005-11-01,107.1,107.1,107.8,106.6,107.0,107.3,265800,286500,236900,327400,226600.0,204500.0,Aggregate,2005,11,Canada
11,2005-12-01,107.5,107.4,108.4,106.6,107.5,108.3,266800,287300,238300,327400,227700.0,206400.0,Aggregate,2005,12,Canada
12,2006-01-01,109.0,108.9,109.8,108.1,108.9,109.5,270500,291300,241300,332100,230600.0,208700.0,Aggregate,2006,1,Canada
13,2006-02-01,110.9,110.9,112.1,109.9,110.7,111.3,275200,296700,246400,337600,234400.0,212100.0,Aggregate,2006,2,Canada
